Year,CountyState,State,County,Actual,Prediction,Probability
2016,01069,01,069,1,1,0.69594801
2016,01119,01,119,0,1,0.715557879
2016,02070,02,070,1,1,0.772306496
2016,05037,05,037,1,1,0.809782729
2016,05085,05,085,1,1,0.83994003
2016,06041,06,041,0,0,0.902385075
2016,06093,06,093,1,1,0.792843447
2016,08049,08,049,1,1,0.703820616
2016,08109,08,109,0,1,0.699215507
2016,12057,12,057,0,0,0.845319519
2016,12075,12,075,1,1,0.874116891
2016,12125,12,125,1,1,0.820265224
2016,13059,13,059,0,0,0.684161089
2016,13079,13,079,1,1,0.847075761
2016,13155,13,155,1,1,0.896677889
2016,13205,13,205,1,1,0.805765612
2016,13255,13,255,1,1,0.751624342
2016,13279,13,279,1,1,0.758887088
2016,17041,17,041,1,1,0.774304668
2016,17093,17,093,1,1,0.656983766
2016,17133,17,133,1,1,0.796166162
2016,17183,17,183,1,1,0.836109213
2016,18095,18,095,1,1,0.824258259
2016,18137,18,137,1,1,0.780434096
2016,19025,19,025,1,1,0.885130143
2016,19043,19,043,1,1,0.886909715
2016,19097,19,097,1,1,0.89512606
2016,19141,19,141,1,1,0.862438138
2016,19191,19,191,1,1,0.791945712
2016,20005,20,005,1,1,0.859920606
2016,20099,20,099,1,1,0.849238454
2016,20145,20,145,1,1,0.822195393
2016,20195,20,195,1,1,0.839963974
2016,21003,21,003,1,1,0.781524196
2016,21045,21,045,1,1,0.785997482
2016,21101,21,101,1,1,0.811380953
2016,21149,21,149,1,1,0.8905617
2016,21199,21,199,1,1,0.812456956
2016,22015,22,015,1,1,0.691212173
2016,22103,22,103,1,1,0.513521854
2016,23001,23,001,1,1,0.793860538
2016,23009,23,009,0,1,0.705320372
2016,23027,23,027,0,1,0.737426621
2016,26111,26,111,1,1,0.529295416
2016,27029,27,029,1,1,0.843649911
2016,27051,27,051,1,1,0.87436714
2016,27113,27,113,1,1,0.851850768
2016,27173,27,173,1,1,0.885009072
2016,28017,28,017,1,1,0.78353049
2016,28065,28,065,0,1,0.811241595
2016,28115,28,115,1,1,0.782724462
2016,29053,29,053,1,1,0.843566449
2016,29067,29,067,1,1,0.89489665
2016,29117,29,117,1,1,0.814346939
2016,29131,29,131,1,1,0.854769599
2016,29181,29,181,1,1,0.879095966
2016,30069,30,069,1,1,0.911055705
2016,31011,31,011,1,1,0.898758359
2016,31031,31,031,1,1,0.895888571
2016,31055,31,055,0,0,0.729652571
2016,31071,31,071,1,1,0.917924585
2016,31121,31,121,1,1,0.901458638
2016,31139,31,139,1,1,0.881262425
2016,32019,32,019,1,1,0.828252693
2016,33005,33,005,0,1,0.650026135
2016,35003,35,003,1,1,0.840586348
2016,35045,35,045,1,0,0.635802013
2016,36033,36,033,1,1,0.748845674
2016,36077,36,077,1,1,0.698874402
2016,37015,37,015,0,1,0.79410458
2016,37103,37,103,1,1,0.843007538
2016,37153,37,153,1,1,0.803105821
2016,38059,38,059,1,1,0.736769836
2016,38079,38,079,0,1,0.663944328
2016,39001,39,001,1,1,0.812794179
2016,39009,39,009,0,1,0.675857195
2016,39027,39,027,1,1,0.825308992
2016,39047,39,047,1,1,0.872511221
2016,39105,39,105,1,1,0.875048476
2016,39157,39,157,1,1,0.837475348
2016,40007,40,007,1,1,0.719872969
2016,40021,40,021,1,1,0.599160392
2016,40035,40,035,1,1,0.850493704
2016,40081,40,081,1,1,0.846329844
