Year,State FIPS,County FIPS,State,County,Actual
2016,2,02013,02,013,1
2016,2,02016,02,016,0
2016,2,02020,02,020,1
2016,2,02050,02,050,0
2016,2,02060,02,060,0
2016,2,02068,02,068,1
2016,2,02070,02,070,0
2016,2,02090,02,090,1
2016,2,02100,02,100,0
2016,2,02105,02,105,0
2016,2,02110,02,110,0
2016,2,02122,02,122,1
2016,2,02130,02,130,1
2016,2,02150,02,150,1
2016,2,02164,02,164,0
2016,2,02170,02,170,1
2016,2,02180,02,180,0
2016,2,02185,02,185,0
2016,2,02188,02,188,0
2016,2,02195,02,195,0
2016,2,02198,02,198,1
2016,2,02220,02,220,0
2016,2,02230,02,230,0
2016,2,02240,02,240,1
2016,2,02261,02,261,1
2016,2,02270,02,270,0
2016,2,02275,02,275,0
2016,2,02282,02,282,0
2016,2,02290,02,290,0
2016,1,01001,01,001,1
2016,1,01003,01,003,1
2016,1,01005,01,005,1
2016,1,01007,01,007,1
2016,1,01009,01,009,1
2016,1,01011,01,011,0
2016,1,01013,01,013,1
2016,1,01015,01,015,1
2016,1,01017,01,017,1
2016,1,01019,01,019,1
2016,1,01021,01,021,1
2016,1,01023,01,023,1
2016,1,01025,01,025,1
2016,1,01027,01,027,1
2016,1,01029,01,029,1
2016,1,01031,01,031,1
2016,1,01033,01,033,1
2016,1,01035,01,035,1
2016,1,01037,01,037,1
2016,1,01039,01,039,1
2016,1,01041,01,041,1
2016,1,01043,01,043,1
2016,1,01045,01,045,1
2016,1,01047,01,047,0
2016,1,01049,01,049,1
2016,1,01051,01,051,1
2016,1,01053,01,053,1
2016,1,01055,01,055,1
2016,1,01057,01,057,1
2016,1,01059,01,059,1
2016,1,01061,01,061,1
2016,1,01063,01,063,0
2016,1,01065,01,065,0
2016,1,01067,01,067,1
2016,1,01069,01,069,1
2016,1,01071,01,071,1
2016,1,01073,01,073,0
2016,1,01075,01,075,1
2016,1,01077,01,077,1
2016,1,01079,01,079,1
2016,1,01081,01,081,1
2016,1,01083,01,083,1
2016,1,01085,01,085,0
2016,1,01087,01,087,0
2016,1,01089,01,089,1
2016,1,01091,01,091,0
2016,1,01093,01,093,1
2016,1,01095,01,095,1
2016,1,01097,01,097,1
2016,1,01099,01,099,1
2016,1,01101,01,101,0
2016,1,01103,01,103,1
2016,1,01105,01,105,0
2016,1,01107,01,107,1
2016,1,01109,01,109,1
2016,1,01111,01,111,1
2016,1,01113,01,113,0
2016,1,01117,01,117,1
2016,1,01115,01,115,1
2016,1,01119,01,119,0
2016,1,01121,01,121,1
2016,1,01123,01,123,1
2016,1,01125,01,125,1
2016,1,01127,01,127,1
2016,1,01129,01,129,1
2016,1,01131,01,131,0
2016,1,01133,01,133,1
2016,5,05001,05,001,1
2016,5,05003,05,003,1
2016,5,05005,05,005,1
2016,5,05007,05,007,1
2016,5,05009,05,009,1
2016,5,05011,05,011,1
2016,5,05013,05,013,1
2016,5,05015,05,015,1
2016,5,05017,05,017,0
2016,5,05019,05,019,1
2016,5,05021,05,021,1
2016,5,05023,05,023,1
2016,5,05025,05,025,1
2016,5,05027,05,027,1
2016,5,05029,05,029,1
2016,5,05031,05,031,1
2016,5,05033,05,033,1
2016,5,05035,05,035,0
2016,5,05037,05,037,1
2016,5,05039,05,039,1
2016,5,05041,05,041,0
2016,5,05043,05,043,1
2016,5,05045,05,045,1
2016,5,05047,05,047,1
2016,5,05049,05,049,1
2016,5,05051,05,051,1
2016,5,05053,05,053,1
2016,5,05055,05,055,1
2016,5,05057,05,057,1
2016,5,05059,05,059,1
2016,5,05061,05,061,1
2016,5,05063,05,063,1
2016,5,05065,05,065,1
2016,5,05067,05,067,1
2016,5,05069,05,069,0
2016,5,05071,05,071,1
2016,5,05073,05,073,1
2016,5,05075,05,075,1
2016,5,05077,05,077,0
2016,5,05079,05,079,1
2016,5,05081,05,081,1
2016,5,05083,05,083,1
2016,5,05085,05,085,1
2016,5,05087,05,087,1
2016,5,05089,05,089,1
2016,5,05091,05,091,1
2016,5,05093,05,093,1
2016,5,05095,05,095,1
2016,5,05097,05,097,1
2016,5,05099,05,099,1
2016,5,05101,05,101,1
2016,5,05103,05,103,1
2016,5,05105,05,105,1
2016,5,05107,05,107,0
2016,5,05109,05,109,1
2016,5,05111,05,111,1
2016,5,05113,05,113,1
2016,5,05115,05,115,1
2016,5,05117,05,117,1
2016,5,05119,05,119,0
2016,5,05121,05,121,1
2016,5,05125,05,125,1
2016,5,05127,05,127,1
2016,5,05129,05,129,1
2016,5,05131,05,131,1
2016,5,05133,05,133,1
2016,5,05135,05,135,1
2016,5,05123,05,123,0
2016,5,05137,05,137,1
2016,5,05139,05,139,1
2016,5,05141,05,141,1
2016,5,05143,05,143,1
2016,5,05145,05,145,1
2016,5,05147,05,147,1
2016,5,05149,05,149,1
2016,4,04001,04,001,0
2016,4,04003,04,003,1
2016,4,04005,04,005,0
2016,4,04007,04,007,1
2016,4,04009,04,009,1
2016,4,04011,04,011,1
2016,4,04012,04,012,1
2016,4,04013,04,013,1
2016,4,04015,04,015,1
2016,4,04017,04,017,1
2016,4,04019,04,019,0
2016,4,04021,04,021,1
2016,4,04023,04,023,0
2016,4,04025,04,025,1
2016,4,04027,04,027,1
2016,6,06001,06,001,0
2016,6,06003,06,003,0
2016,6,06005,06,005,1
2016,6,06007,06,007,1
2016,6,06009,06,009,1
2016,6,06011,06,011,1
2016,6,06013,06,013,0
2016,6,06015,06,015,1
2016,6,06017,06,017,1
2016,6,06019,06,019,0
2016,6,06021,06,021,1
2016,6,06023,06,023,0
2016,6,06025,06,025,0
2016,6,06027,06,027,1
2016,6,06029,06,029,1
2016,6,06031,06,031,1
2016,6,06033,06,033,0
2016,6,06035,06,035,1
2016,6,06037,06,037,0
2016,6,06039,06,039,1
2016,6,06041,06,041,0
2016,6,06043,06,043,1
2016,6,06045,06,045,0
2016,6,06047,06,047,0
2016,6,06049,06,049,1
2016,6,06051,06,051,0
2016,6,06053,06,053,0
2016,6,06055,06,055,0
2016,6,06057,06,057,0
2016,6,06059,06,059,0
2016,6,06061,06,061,1
2016,6,06063,06,063,1
2016,6,06065,06,065,0
2016,6,06067,06,067,0
2016,6,06069,06,069,0
2016,6,06071,06,071,0
2016,6,06073,06,073,0
2016,6,06075,06,075,0
2016,6,06077,06,077,0
2016,6,06079,06,079,0
2016,6,06081,06,081,0
2016,6,06083,06,083,0
2016,6,06085,06,085,0
2016,6,06087,06,087,0
2016,6,06089,06,089,1
2016,6,06091,06,091,1
2016,6,06093,06,093,1
2016,6,06095,06,095,0
2016,6,06097,06,097,0
2016,6,06099,06,099,0
2016,6,06101,06,101,1
2016,6,06103,06,103,1
2016,6,06105,06,105,1
2016,6,06107,06,107,1
2016,6,06109,06,109,1
2016,6,06111,06,111,0
2016,6,06113,06,113,0
2016,6,06115,06,115,1
2016,8,08001,08,001,0
2016,8,08003,08,003,0
2016,8,08005,08,005,0
2016,8,08007,08,007,1
2016,8,08009,08,009,1
2016,8,08011,08,011,1
2016,8,08013,08,013,0
2016,8,08014,08,014,0
2016,8,08015,08,015,1
2016,8,08017,08,017,1
2016,8,08019,08,019,0
2016,8,08021,08,021,1
2016,8,08023,08,023,0
2016,8,08025,08,025,1
2016,8,08027,08,027,1
2016,8,08029,08,029,1
2016,8,08031,08,031,0
2016,8,08033,08,033,1
2016,8,08035,08,035,1
